,time,x,x,x,x,time,u,u,u,u
168,3.4,0,0,0,0,3.4,0,0,0,0
169,3.42,0,0,0,0,3.42,0,0,0,0
170,3.44,0,0,0,0,3.44,0,0,0,0
171,3.46,0,0,0,0,3.46,0,0,0,0
172,3.48,0,0,0,0,3.48,0,0,0,0
173,3.5,0,0,0,0,3.5,0,0,0,0
174,3.52,0,0,0,0,3.52,0,0,0,0
175,3.54,0,0,0,0,3.54,0,0,0,0
176,3.56,0,0,0,0,3.56,0,0,0,0
177,3.58,0,0,0,0,3.58,0,0,0,0
178,3.6,0,0,0,0,3.6,0,0,0,0
179,3.62,0,0,0,0,3.62,0,0,0,0
180,3.64,0,0,0,0,3.64,0,0,0,0
181,3.66,0,0,0,0,3.66,0,0,0,0
182,3.68,0,0,0,0,3.68,0,0,0,0
183,3.7,0,0,0,0,3.7,0,0,0,0
184,3.72,0,0,0,0,3.72,0,0,0,0
185,3.74,0,0,0,0,3.74,0,0,0,0
186,3.76,0,0,0,0,3.76,0,0,0,0
187,3.78,0,0,0,0,3.78,0,0,0,0
188,3.8,0,0,0,0,3.8,0,0,0,0
189,3.82,0,0,0,0,3.82,0,0,0,0
190,3.84,0,0,0,0,3.84,0,0,0,0
191,3.86,0,0,0,0,3.86,0,0,0,0
192,3.88,0,0,0,0,3.88,0,0,0,0
193,3.9,0,0,0,0,3.9,0,0,0,0
194,3.92,0,0,0,0,3.92,0,0,0,0
195,3.94,0,0,0,0,3.94,0,0,0,0
196,3.96,0,0,0,0,3.96,0,0,0,0
197,3.98,0,0,0,0,3.98,0,0,0,0
198,4,0,0,0,0,4,0,0,0,0
199,4.02,0,0,0,0,4.02,0,0,0,0
200,4.04,0,0,0,0,4.04,0,0,0,0
201,4.06,0,0,0,0,4.06,0,0,0,0
202,4.08,0,0,0,0,4.08,0,0,0,0
203,4.1,0,0,0,0,4.1,0,0,0,0
204,4.12,0,0,0,0,4.12,0,0,0,0
205,4.14,0,0,0,0,4.14,0,0,0,0
206,4.16,0,0,0,0,4.16,0,0,0,0
207,4.18,0,0,0,0,4.18,0,0,0,0
208,4.2,0,0,0,0,4.2,0,0,0,0
209,4.22,0,0,0,0,4.22,0,0,0,0
210,4.24,0,0,0,0,4.24,0,0,0,0
211,4.26,0,0,0,0,4.26,0,0,0,0
212,4.28,0,0,0,0,4.28,0,0,0,0
213,4.3,0,0,0,0,4.3,0,0,0,0
214,4.32,0,0,0,0,4.32,0,0,0,0
215,4.34,0,0,0,0,4.34,0,0,0,0
216,4.36,0,0,0,0,4.36,0,0,0,0
217,4.38,0,0,0,0,4.38,0,0,0,0
218,4.4,0,0,0,0,4.4,0,0,0,0
219,4.42,0,0,0,0,4.42,0,0,0,0
220,4.44,0,0,0,0,4.44,0,0,0,0
221,4.46,0,0,0,0,4.46,0,0,0,0
222,4.48,0,0,0,0,4.48,0,0,0,0
223,4.5,0,0,0,0,4.5,0,0,0,0
224,4.52,0,0,0,0,4.52,0,0,0,0
225,4.54,0,0,0,0,4.54,0,0,0,0
226,4.56,0,0,0,0,4.56,0,0,0,0
227,4.58,0,0,0,0,4.58,0,0,0,0
228,4.6,0,0,0,0,4.6,0,0,0,0
229,4.62,0,0,0,0,4.62,0,0,0,0
230,4.64,0,0,0,0,4.64,0,0,0,0
231,4.66,0,0,0,0,4.66,0,0,0,0
232,4.68,0,0,0,0,4.68,0,0,0,0
233,4.7,0,0,0,0,4.7,0,0,0,0
234,4.72,0,0,0,0,4.72,0,0,0,0
235,4.74,0,0,0,0,4.74,0,0,0,0
236,4.76,0,0,0,0,4.76,0,0,0,0
237,4.78,0,0,0,0,4.78,0,0,0,0
238,4.8,0,0,0,0,4.8,0,0,0,0
239,4.82,0,0,0,0,4.82,0,0,0,0
240,4.84,0,0,0,0,4.84,0,0,0,0
241,4.86,0,0,0,0,4.86,0,0,0,0
242,4.88,0,0,0,0,4.88,0,0,0,0
243,4.9,0,0,0,0,4.9,0,0,0,0
